Document_No,Line_No,Item Code,Description,Quantity (Clean),Unit_Price,Line_Discount_Percent,Line_Amount,Net_Amount_Excl_VAT,Posting_Date,Total_Amount_Excl_VAT,Total_VAT_Amount,Total_Amount_Incl_VAT,GST (%),Exchange rate,Sales_Channel,Returns_Refunds,Promo_Flag,Customer_ID
DOC001136,1,CAM-C-R-1KG,Roasted Cashews 1kg,1,24.65,5,24.65,23.42,2024-10-31,23.42,1.64,25.06,7%,1.0,Lazada,0,N,CUST0087
DOC001137,1,CAM-C-R-135G,Roasted Cashews,1,5.03,14,5.03,4.33,2023-07-14,4.33,0.3,4.63,7%,1.0,Shopee,0,Y,CUST0010
DOC001138,1,CAM-DF&-M-200G,Dried Mango,1,4.77,11,4.77,4.25,2024-02-19,4.25,0.3,4.55,7%,1.0,Shopee,0,Y,CUST0078
DOC001139,1,CAM-NB-CB-350G,Camel Organic Cashew Butter,2,10.59,5,21.18,20.12,2023-01-22,20.12,1.41,21.53,7%,1.0,Shopify,0,N,CUST0142
DOC001140,1,CAM-C-S-1KG,Satay Cashews 1kg,2,25.68,12,51.36,45.2,2023-01-02,45.2,3.16,48.36,7%,1.0,Shopify,0,Y,CUST0192
DOC001141,1,CAM-A-H-135G,Honey Almonds,5,5.08,14,25.4,21.84,2024-01-26,21.84,1.53,23.37,7%,1.0,Shopee,0,Y,CUST0111
DOC001142,1,CAM-MN-FM-135G,Fancy Mixed Nuts,3,5.75,15,17.25,14.66,2023-02-21,14.66,1.03,15.69,7%,1.0,Shopee,0,Y,CUST0063
DOC001143,1,CAM-A-H-135G,Honey Almonds,2,5.38,9,10.76,9.79,2024-12-21,9.79,0.69,10.48,7%,1.0,Shopify,0,N,CUST0073
DOC001144,1,CAM-C-NB-135G,Natural Baked Cashews,5,4.97,11,24.85,22.12,2024-03-15,22.12,1.55,23.67,7%,1.0,Shopee,1,Y,CUST0176
DOC001145,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,3,5.63,1,16.89,16.72,2023-12-28,16.72,1.17,17.89,7%,1.0,Shopify,1,N,CUST0069
DOC001146,1,CAM-C-R-1KG,Roasted Cashews 1kg,1,28.91,14,28.91,24.86,2023-12-04,24.86,1.74,26.6,7%,1.0,Shopify,0,Y,CUST0120
DOC001147,1,CAM-P-B-1KG,Baked Pistachios 1kg,3,28.4,7,85.2,79.24,2023-02-15,79.24,5.55,84.79,7%,1.0,Lazada,0,N,CUST0004
DOC001148,1,CAM-C-NB-135G,Natural Baked Cashews,2,4.73,7,9.46,8.8,2024-05-24,8.8,0.62,9.42,7%,1.0,Lazada,0,N,CUST0142
DOC001149,1,CAM-MN-CM-135G,Natural Cocktail Mix,10,5.2,10,52.0,46.8,2024-12-16,46.8,3.28,50.08,7%,1.0,Shopee,0,Y,CUST0104
DOC001150,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,2,27.45,5,54.9,52.15,2024-01-27,52.15,3.65,55.8,7%,1.0,Shopify,0,N,CUST0191
DOC001151,1,CAM-C-NB-135G,Natural Baked Cashews,2,5.07,12,10.14,8.92,2024-02-01,8.92,0.62,9.54,7%,1.0,Shopify,0,Y,CUST0117
DOC001152,1,CAM-C-R-135G,Roasted Cashews,2,5.05,3,10.1,9.8,2023-05-06,9.8,0.69,10.49,7%,1.0,Shopify,0,N,CUST0042
DOC001153,1,CAM-C-NB-135G,Natural Baked Cashews,2,5.47,7,10.94,10.17,2023-05-08,10.17,0.71,10.88,7%,1.0,Lazada,0,N,CUST0156
DOC001154,1,CAM-C-H-1KG,Honey Cashews 1kg,2,28.37,0,56.74,56.74,2023-01-10,56.74,3.97,60.71,7%,1.0,Shopify,0,N,CUST0018
DOC001155,1,CAM-P-C-135G,Cracker Peanuts,3,1.5,15,4.5,3.82,2024-05-13,3.82,0.27,4.09,7%,1.0,Shopee,0,Y,CUST0002
DOC001156,1,CAM-A-H-135G,Honey Almonds,1,4.74,4,4.74,4.55,2024-08-14,4.55,0.32,4.87,7%,1.0,Shopify,0,N,CUST0176
DOC001157,1,CAM-C-R-1KG,Roasted Cashews 1kg,1,25.11,0,25.11,25.11,2024-02-19,25.11,1.76,26.87,7%,1.0,Shopify,0,N,CUST0193
DOC001158,1,CAM-C-R-1KG,Roasted Cashews 1kg,1,27.18,7,27.18,25.28,2023-02-10,25.28,1.77,27.05,7%,1.0,Lazada,0,N,CUST0151
DOC001159,1,CAM-A-H-135G,Honey Almonds,5,5.05,9,25.25,22.98,2023-02-12,22.98,1.61,24.59,7%,1.0,Lazada,0,N,CUST0121
DOC001160,1,CAM-C-R-1KG,Roasted Cashews 1kg,12,25.19,7,302.28,281.12,2023-10-05,281.12,19.68,300.8,7%,1.0,Lazada,0,N,CUST0114
DOC001161,1,CAM-C-H-1KG,Honey Cashews 1kg,2,25.95,5,51.9,49.3,2024-04-09,49.3,3.45,52.75,7%,1.0,Lazada,0,N,CUST0155
DOC001162,1,CAM-DF&-C-200G,Dried Cranberries,3,4.59,6,13.77,12.94,2024-09-09,12.94,0.91,13.85,7%,1.0,Lazada,0,N,CUST0008
DOC001163,1,CAM-C-R-135G,Roasted Cashews,4,4.56,9,18.24,16.6,2024-03-18,16.6,1.16,17.76,7%,1.0,Lazada,0,N,CUST0073
DOC001164,1,CAM-A-H-36G,Honey Almonds Mini 36g,2,1.48,12,2.96,2.6,2023-02-09,2.6,0.18,2.78,7%,1.0,Shopee,0,Y,CUST0068
DOC001165,1,CAM-MN-FM-135G,Fancy Mixed Nuts,6,5.58,9,33.48,30.47,2023-11-23,30.47,2.13,32.6,7%,1.0,Lazada,0,N,CUST0109
DOC001166,1,CAM-C-NB-135G,Natural Baked Cashews,4,5.19,5,20.76,19.72,2023-02-22,19.72,1.38,21.1,7%,1.0,Lazada,0,N,CUST0047
DOC001167,1,CAM-MN-CM-135G,Natural Cocktail Mix,3,5.74,10,17.22,15.5,2023-11-09,15.5,1.09,16.59,7%,1.0,Shopee,0,Y,CUST0138
DOC001168,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,2,5.27,13,10.54,9.17,2024-11-15,9.17,0.64,9.81,7%,1.0,Shopee,0,Y,CUST0113
DOC001169,1,CAM-C-R-135G,Roasted Cashews,3,4.67,3,14.01,13.59,2024-09-25,13.59,0.95,14.54,7%,1.0,Shopify,0,N,CUST0018
DOC001170,1,CAM-C-R-135G,Roasted Cashews,4,4.92,4,19.68,18.89,2024-03-03,18.89,1.32,20.21,7%,1.0,Shopify,0,N,CUST0034
DOC001171,1,CAM-MN-FM-135G,Fancy Mixed Nuts,4,5.63,12,22.52,19.82,2023-05-16,19.82,1.39,21.21,7%,1.0,Shopee,0,Y,CUST0008
DOC001172,1,CAM-BG&-WP-135G,Green Peas Wasabi,3,2.1,14,6.3,5.42,2023-02-17,5.42,0.38,5.8,7%,1.0,Shopee,1,Y,CUST0018
DOC001173,1,CAM-A-BS-1KG,Almonds Blanched Sliced 1kg,5,22.42,12,112.1,98.65,2024-10-14,98.65,6.91,105.56,7%,1.0,Shopee,0,Y,CUST0120
DOC001174,1,CAM-A-NB-36G,Natural Baked Almonds Mini 36g,2,1.42,12,2.84,2.5,2024-01-02,2.5,0.18,2.68,7%,1.0,Shopee,0,Y,CUST0177
DOC001175,1,CAM-P-S-135G,Shandong Groundnuts,2,1.82,4,3.64,3.49,2023-02-08,3.49,0.24,3.73,7%,1.0,Shopify,0,N,CUST0030
DOC001176,1,CAM-MN-FM-135G,Fancy Mixed Nuts,7,5.42,7,37.94,35.28,2024-11-05,35.28,2.47,37.75,7%,1.0,Lazada,0,N,CUST0067
DOC001177,1,CAM-C-R-1KG,Roasted Cashews 1kg,7,25.19,9,176.33,160.46,2024-01-21,160.46,11.23,171.69,7%,1.0,Lazada,0,N,CUST0108
DOC001178,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,5,4.82,10,24.1,21.69,2024-12-02,21.69,1.52,23.21,7%,1.0,Lazada,0,Y,CUST0144
DOC001179,1,CAM-C-R-135G,Roasted Cashews,3,4.85,7,14.55,13.53,2023-01-18,13.53,0.95,14.48,7%,1.0,Lazada,0,N,CUST0143
DOC001180,1,CAM-C-R-135G,Roasted Cashews,3,5.08,3,15.24,14.78,2023-06-10,14.78,1.03,15.81,7%,1.0,Shopify,0,N,CUST0126
DOC001181,1,CAM-C-NB-135G,Natural Baked Cashews,3,4.71,9,14.13,12.86,2023-09-30,12.86,0.9,13.76,7%,1.0,Lazada,0,N,CUST0036
DOC001182,1,CAM-C-H-1KG,Honey Cashews 1kg,6,27.87,12,167.22,147.15,2023-02-23,147.15,10.3,157.45,7%,1.0,Shopee,0,Y,CUST0040
DOC001183,1,CAM-BG&-WP-135G,Green Peas Wasabi,3,2.17,10,6.51,5.86,2023-04-17,5.86,0.41,6.27,7%,1.0,Lazada,0,Y,CUST0108
DOC001184,1,CAM-MN-FM-135G,Fancy Mixed Nuts,2,5.09,14,10.18,8.75,2024-01-24,8.75,0.61,9.36,7%,1.0,Lazada,0,Y,CUST0041
DOC001185,1,CAM-NB-WB-350G,Camel Organic Walnut Butter,6,9.17,10,55.02,49.52,2023-09-14,49.52,3.47,52.99,7%,1.0,Shopee,0,Y,CUST0157
DOC001186,1,CAM-MN-CM-135G,Natural Cocktail Mix,1,5.02,13,5.02,4.37,2023-12-16,4.37,0.31,4.68,7%,1.0,Shopify,0,Y,CUST0188
DOC001187,1,CAM-A-H-135G,Honey Almonds,3,4.98,6,14.94,14.04,2023-02-24,14.04,0.98,15.02,7%,1.0,Lazada,0,N,CUST0180
DOC001188,1,CAM-C-H-1KG,Honey Cashews 1kg,2,25.21,14,50.42,43.36,2024-12-16,43.36,3.04,46.4,7%,1.0,Shopify,0,Y,CUST0153
DOC001189,1,CAM-A-H-36G,Honey Almonds Mini 36g,2,1.52,15,3.04,2.58,2024-01-09,2.58,0.18,2.76,7%,1.0,Lazada,0,Y,CUST0014
DOC001190,1,CAM-A-H-36G,Honey Almonds Mini 36g,2,1.41,3,2.82,2.74,2023-09-27,2.74,0.19,2.93,7%,1.0,Shopify,1,N,CUST0145
DOC001191,1,CAM-C-S-1KG,Satay Cashews 1kg,3,26.07,15,78.21,66.48,2024-01-04,66.48,4.65,71.13,7%,1.0,Shopee,0,Y,CUST0148
DOC001192,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,2,24.41,15,48.82,41.5,2024-04-14,41.5,2.91,44.41,7%,1.0,Shopee,0,Y,CUST0013
DOC001193,1,CAM-MN-CM-135G,Natural Cocktail Mix,3,5.28,14,15.84,13.62,2023-12-04,13.62,0.95,14.57,7%,1.0,Shopee,0,Y,CUST0053
DOC001194,1,CAM-P-GS-135G,Garlic Shandong Groundnuts,2,1.77,10,3.54,3.19,2024-01-18,3.19,0.22,3.41,7%,1.0,Shopee,0,Y,CUST0064
DOC001195,1,CAM-P-B-400G,Baked Pistachios 400g,6,10.3,15,61.8,52.53,2024-01-05,52.53,3.68,56.21,7%,1.0,Shopee,0,Y,CUST0054
DOC001196,1,CAM-C-H-1KG,Honey Cashews 1kg,2,29.16,6,58.32,54.82,2024-03-30,54.82,3.84,58.66,7%,1.0,Lazada,0,N,CUST0044
DOC001197,1,CAM-A-H-135G,Honey Almonds,2,5.54,5,11.08,10.53,2023-08-14,10.53,0.74,11.27,7%,1.0,Lazada,0,N,CUST0149
DOC001198,1,CAM-C-R-1KG,Roasted Cashews 1kg,2,25.32,15,50.64,43.04,2024-07-30,43.04,3.01,46.05,7%,1.0,Shopee,0,Y,CUST0135
DOC001199,1,CAM-C-H-1KG,Honey Cashews 1kg,9,28.05,8,252.45,232.25,2023-12-03,232.25,16.26,248.51,7%,1.0,Lazada,0,N,CUST0005
DOC001200,1,CAM-C-H-1KG,Honey Cashews 1kg,2,25.98,10,51.96,46.76,2024-10-18,46.76,3.27,50.03,7%,1.0,Lazada,1,Y,CUST0121
DOC001201,1,CAM-A-NB-135G,Natural Baked Almonds,1,5.47,2,5.47,5.36,2023-10-26,5.36,0.38,5.74,7%,1.0,Shopify,0,N,CUST0032
DOC001202,1,CAM-A-H-135G,Honey Almonds,3,4.79,10,14.37,12.93,2023-05-05,12.93,0.91,13.84,7%,1.0,Lazada,0,Y,CUST0130
DOC001203,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,2,28.83,8,57.66,53.05,2023-08-07,53.05,3.71,56.76,7%,1.0,Lazada,0,N,CUST0174
DOC001204,1,CAM-C-NB-135G,Natural Baked Cashews,4,5.01,14,20.04,17.23,2023-02-08,17.23,1.21,18.44,7%,1.0,Lazada,0,Y,CUST0038
DOC001205,1,CAM-A-H-135G,Honey Almonds,4,5.26,10,21.04,18.94,2024-03-22,18.94,1.33,20.27,7%,1.0,Lazada,0,Y,CUST0059
DOC001206,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,3,5.39,7,16.17,15.04,2023-06-20,15.04,1.05,16.09,7%,1.0,Lazada,0,N,CUST0057
DOC001207,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,3,5.02,13,15.06,13.1,2023-11-16,13.1,0.92,14.02,7%,1.0,Shopee,0,Y,CUST0044
DOC001208,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,2,25.18,5,50.36,47.84,2023-08-26,47.84,3.35,51.19,7%,1.0,Shopify,0,N,CUST0053
DOC001209,1,CAM-A-H-36G,Honey Almonds Mini 36g,2,1.64,0,3.28,3.28,2023-07-19,3.28,0.23,3.51,7%,1.0,Shopify,0,N,CUST0008
DOC001210,1,CAM-P-A-135G,Peanut Anchovies,4,1.85,10,7.4,6.66,2024-11-25,6.66,0.47,7.13,7%,1.0,Shopee,0,Y,CUST0010
DOC001211,1,CAM-MN-FM-135G,Fancy Mixed Nuts,6,5.16,12,30.96,27.24,2024-12-21,27.24,1.91,29.15,7%,1.0,Shopee,0,Y,CUST0015
DOC001212,1,CAM-C-NB-135G,Natural Baked Cashews,4,5.37,10,21.48,19.33,2024-07-18,19.33,1.35,20.68,7%,1.0,Lazada,0,Y,CUST0160
DOC001213,1,CAM-MN-FM-135G,Fancy Mixed Nuts,6,5.18,5,31.08,29.53,2024-11-23,29.53,2.07,31.6,7%,1.0,Lazada,0,N,CUST0016
DOC001214,1,CAM-C-R-1KG,Roasted Cashews 1kg,3,26.53,14,79.59,68.45,2023-05-29,68.45,4.79,73.24,7%,1.0,Shopee,0,Y,CUST0049
DOC001215,1,CAM-BG&-WP-135G,Green Peas Wasabi,2,2.13,11,4.26,3.79,2023-01-05,3.79,0.27,4.06,7%,1.0,Shopee,0,Y,CUST0077
DOC001216,1,CAM-BG&-BB-135G,Broad Beans (Fava) Original,5,2.15,1,10.75,10.64,2023-09-30,10.64,0.74,11.38,7%,1.0,Shopify,0,N,CUST0056
DOC001217,1,CAM-C-H-1KG,Honey Cashews 1kg,4,24.85,1,99.4,98.41,2023-04-22,98.41,6.89,105.3,7%,1.0,Shopify,1,N,CUST0152
DOC001218,1,CAM-C-R-135G,Roasted Cashews,1,4.98,11,4.98,4.43,2023-03-27,4.43,0.31,4.74,7%,1.0,Shopee,0,Y,CUST0150
DOC001219,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,4,4.98,15,19.92,16.93,2024-12-25,16.93,1.19,18.12,7%,1.0,Shopee,0,Y,CUST0169
DOC001220,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,2,25.67,5,51.34,48.77,2023-04-20,48.77,3.41,52.18,7%,1.0,Lazada,0,N,CUST0175
DOC001221,1,CAM-MN-FM-135G,Fancy Mixed Nuts,4,5.49,9,21.96,19.98,2023-10-26,19.98,1.4,21.38,7%,1.0,Lazada,0,N,CUST0157
DOC001222,1,CAM-C-H-1KG,Honey Cashews 1kg,2,27.07,15,54.14,46.02,2023-01-17,46.02,3.22,49.24,7%,1.0,Shopee,1,Y,CUST0084
DOC001223,1,CAM-MN-CM-135G,Natural Cocktail Mix,1,5.82,14,5.82,5.01,2024-05-05,5.01,0.35,5.36,7%,1.0,Shopee,0,Y,CUST0173
DOC001224,1,CAM-MN-CM-135G,Natural Cocktail Mix,2,5.85,5,11.7,11.12,2023-12-26,11.12,0.78,11.9,7%,1.0,Lazada,0,N,CUST0072
DOC001225,1,CAM-C-R-1KG,Roasted Cashews 1kg,1,29.01,12,29.01,25.53,2023-02-28,25.53,1.79,27.32,7%,1.0,Shopee,0,Y,CUST0134
DOC001226,1,CAM-BG&-BB-135G,Broad Beans (Fava) Original,3,2.38,5,7.14,6.78,2023-08-02,6.78,0.47,7.25,7%,1.0,Shopify,0,N,CUST0051
DOC001227,1,CAM-P-GS-135G,Garlic Shandong Groundnuts,3,1.99,1,5.97,5.91,2023-01-26,5.91,0.41,6.32,7%,1.0,Shopify,1,N,CUST0154
DOC001228,1,CAM-C-H-135G,Honey Cashews,2,5.64,15,11.28,9.59,2024-12-21,9.59,0.67,10.26,7%,1.0,Shopee,0,Y,CUST0122
DOC001229,1,CAM-C-NB-135G,Natural Baked Cashews,1,5.23,13,5.23,4.55,2023-09-06,4.55,0.32,4.87,7%,1.0,Shopee,0,Y,CUST0026
DOC001230,1,CAM-C-H-135G,Honey Cashews,3,5.51,12,16.53,14.55,2023-01-30,14.55,1.02,15.57,7%,1.0,Shopee,1,Y,CUST0045
DOC001231,1,CAM-C-H-135G,Honey Cashews,3,5.22,13,15.66,13.62,2024-11-02,13.62,0.95,14.57,7%,1.0,Shopify,0,Y,CUST0088
DOC001232,1,CAM-NB-CB-350G,Camel Organic Cashew Butter,3,9.46,7,28.38,26.39,2024-01-23,26.39,1.85,28.24,7%,1.0,Shopify,0,N,CUST0156
DOC001233,1,CAM-C-H-1KG,Honey Cashews 1kg,4,28.59,7,114.36,106.35,2024-02-02,106.35,7.44,113.79,7%,1.0,Lazada,0,N,CUST0001
DOC001234,1,CAM-MN-CM-135G,Natural Cocktail Mix,1,5.53,14,5.53,4.76,2023-11-08,4.76,0.33,5.09,7%,1.0,Shopee,0,Y,CUST0016
DOC001235,1,CAM-C-H-1KG,Honey Cashews 1kg,1,25.85,5,25.85,24.56,2024-03-29,24.56,1.72,26.28,7%,1.0,Lazada,1,N,CUST0117
DOC001236,1,CAM-C-H-135G,Honey Cashews,7,4.94,1,34.58,34.23,2023-09-03,34.23,2.4,36.63,7%,1.0,Shopify,0,N,CUST0162
DOC001237,1,CAM-C-S-135G,Satay Cashews,2,5.08,11,10.16,9.04,2024-02-13,9.04,0.63,9.67,7%,1.0,Shopee,0,Y,CUST0153
DOC001238,1,CAM-C-H-135G,Honey Cashews,4,5.18,1,20.72,20.51,2023-07-03,20.51,1.44,21.95,7%,1.0,Shopify,0,N,CUST0070
DOC001239,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,5,5.05,9,25.25,22.98,2023-11-27,22.98,1.61,24.59,7%,1.0,Shopify,0,N,CUST0084
DOC001240,1,CAM-A-H-135G,Honey Almonds,1,4.87,10,4.87,4.38,2023-06-18,4.38,0.31,4.69,7%,1.0,Lazada,0,Y,CUST0054
DOC001241,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,5,5.63,14,28.15,24.21,2024-11-25,24.21,1.69,25.9,7%,1.0,Shopee,1,Y,CUST0182
DOC001242,1,CAM-MN-CM-135G,Natural Cocktail Mix,2,5.49,5,10.98,10.43,2023-12-26,10.43,0.73,11.16,7%,1.0,Lazada,0,N,CUST0043
DOC001243,1,CAM-C-H-1KG,Honey Cashews 1kg,1,27.66,11,27.66,24.62,2024-02-16,24.62,1.72,26.34,7%,1.0,Shopee,0,Y,CUST0048
DOC001244,1,CAM-C-NB-135G,Natural Baked Cashews,4,4.72,15,18.88,16.05,2024-02-18,16.05,1.12,17.17,7%,1.0,Shopee,0,Y,CUST0174
DOC001245,1,CAM-NB-CB-350G,Camel Organic Cashew Butter,4,9.32,4,37.28,35.79,2024-11-07,35.79,2.51,38.3,7%,1.0,Shopify,0,N,CUST0196
DOC001246,1,CAM-C-R-1KG,Roasted Cashews 1kg,7,28.48,12,199.36,175.44,2024-01-02,175.44,12.28,187.72,7%,1.0,Shopee,0,Y,CUST0075
DOC001247,1,CAM-NB-CB-350G,Camel Organic Cashew Butter,3,9.5,12,28.5,25.08,2024-12-11,25.08,1.76,26.84,7%,1.0,Shopee,0,Y,CUST0062
DOC001248,1,CAM-C-H-135G,Honey Cashews,7,4.89,4,34.23,32.86,2024-09-02,32.86,2.3,35.16,7%,1.0,Shopify,0,N,CUST0111
DOC001249,1,CAM-MN-CM-135G,Natural Cocktail Mix,2,5.65,11,11.3,10.06,2024-11-10,10.06,0.7,10.76,7%,1.0,Shopee,0,Y,CUST0042
DOC001250,1,CAM-A-H-135G,Honey Almonds,5,4.94,9,24.7,22.48,2024-02-10,22.48,1.57,24.05,7%,1.0,Lazada,0,N,CUST0138
DOC001251,1,CAM-A-H-135G,Honey Almonds,2,5.59,10,11.18,10.06,2023-08-30,10.06,0.7,10.76,7%,1.0,Shopee,0,Y,CUST0145
DOC001252,1,CAM-P-S-135G,Shandong Groundnuts,3,1.62,5,4.86,4.62,2023-04-09,4.62,0.32,4.94,7%,1.0,Lazada,0,N,CUST0023
DOC001253,1,CAM-DF&-C-200G,Dried Cranberries,2,5.12,9,10.24,9.32,2024-04-13,9.32,0.65,9.97,7%,1.0,Lazada,0,N,CUST0170
DOC001254,1,CAM-C-R-1KG,Roasted Cashews 1kg,8,25.97,2,207.76,203.6,2023-01-22,203.6,14.25,217.85,7%,1.0,Shopify,0,N,CUST0098
DOC001255,1,CAM-C-R-1KG,Roasted Cashews 1kg,5,27.76,10,138.8,124.92,2024-02-08,124.92,8.74,133.66,7%,1.0,Lazada,0,Y,CUST0154
DOC001256,1,CAM-MN-FM-135G,Fancy Mixed Nuts,5,5.16,13,25.8,22.45,2023-11-30,22.45,1.57,24.02,7%,1.0,Shopee,0,Y,CUST0028
DOC001257,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,1,28.07,1,28.07,27.79,2023-05-01,27.79,1.95,29.74,7%,1.0,Shopify,0,N,CUST0130
DOC001258,1,CAM-C-H-135G,Honey Cashews,4,4.97,5,19.88,18.89,2024-11-04,18.89,1.32,20.21,7%,1.0,Lazada,0,N,CUST0027
DOC001259,1,CAM-C-H-1KG,Honey Cashews 1kg,3,25.41,13,76.23,66.32,2023-08-09,66.32,4.64,70.96,7%,1.0,Shopee,0,Y,CUST0046
DOC001260,1,CAM-P-A-135G,Peanut Anchovies,4,1.99,9,7.96,7.24,2023-02-21,7.24,0.51,7.75,7%,1.0,Shopify,0,N,CUST0105
DOC001261,1,CAM-C-R-135G,Roasted Cashews,3,4.81,13,14.43,12.55,2023-08-07,12.55,0.88,13.43,7%,1.0,Shopee,0,Y,CUST0093
DOC001262,1,CAM-P-B-135G,Baked Pistachios,2,5.75,15,11.5,9.77,2023-12-10,9.77,0.68,10.45,7%,1.0,Shopify,0,Y,CUST0124
DOC001263,1,CAM-C-H-1KG,Honey Cashews 1kg,1,27.32,3,27.32,26.5,2024-01-31,26.5,1.86,28.36,7%,1.0,Shopify,0,N,CUST0129
DOC001264,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,3,5.12,11,15.36,13.67,2024-12-08,13.67,0.96,14.63,7%,1.0,Shopee,1,Y,CUST0073
DOC001265,1,CAM-A-H-36G,Honey Almonds Mini 36g,12,1.48,10,17.76,15.98,2023-10-23,15.98,1.12,17.1,7%,1.0,Shopee,0,Y,CUST0027
DOC001266,1,CAM-P-C-135G,Cracker Peanuts,7,1.57,9,10.99,10.0,2024-09-18,10.0,0.7,10.7,7%,1.0,Lazada,0,N,CUST0008
DOC001267,1,CAM-C-H-1KG,Honey Cashews 1kg,1,29.43,10,29.43,26.49,2024-08-14,26.49,1.85,28.34,7%,1.0,Shopee,0,Y,CUST0091
DOC001268,1,CAM-C-H-135G,Honey Cashews,6,5.29,12,31.74,27.93,2023-09-14,27.93,1.96,29.89,7%,1.0,Shopee,0,Y,CUST0055
DOC001269,1,CAM-C-R-1KG,Roasted Cashews 1kg,4,24.47,12,97.88,86.13,2024-03-27,86.13,6.03,92.16,7%,1.0,Shopee,0,Y,CUST0047
DOC001270,1,CAM-C-NB-1KG,Natural Baked Cashews 1kg,5,26.17,7,130.85,121.69,2024-04-12,121.69,8.52,130.21,7%,1.0,Lazada,1,N,CUST0012
DOC001271,1,CAM-C-R-1KG,Roasted Cashews 1kg,5,29.42,5,147.1,139.74,2023-05-04,139.74,9.78,149.52,7%,1.0,Lazada,0,N,CUST0137
DOC001272,1,CAM-P-C-135G,Cracker Peanuts,6,1.64,11,9.84,8.76,2024-12-01,8.76,0.61,9.37,7%,1.0,Shopee,0,Y,CUST0087
DOC001273,1,CAM-P-C-135G,Cracker Peanuts,3,1.46,8,4.38,4.03,2023-01-30,4.03,0.28,4.31,7%,1.0,Lazada,0,N,CUST0167
DOC001274,1,CAM-A-H-36G,Honey Almonds Mini 36g,2,1.48,4,2.96,2.84,2023-01-29,2.84,0.2,3.04,7%,1.0,Shopify,0,N,CUST0022
DOC001275,1,CAM-MN-BD-135G,Natural Nutty Berries Delight,2,4.87,8,9.74,8.96,2024-01-26,8.96,0.63,9.59,7%,1.0,Lazada,0,N,CUST0032
DOC001276,1,CAM-C-R-135G,Roasted Cashews,6,4.83,0,28.98,28.98,2023-09-12,28.98,2.03,31.01,7%,1.0,Shopify,0,N,CUST0141
DOC001277,1,CAM-A-NB-36G,Natural Baked Almonds Mini 36g,3,1.54,15,4.62,3.93,2024-01-25,3.93,0.28,4.21,7%,1.0,Shopee,0,Y,CUST0079
DOC001278,1,CAM-C-NB-135G,Natural Baked Cashews,5,4.72,14,23.6,20.3,2023-08-28,20.3,1.42,21.72,7%,1.0,Shopee,0,Y,CUST0152
DOC001279,1,CAM-A-H-36G,Honey Almonds Mini 36g,3,1.64,10,4.92,4.43,2024-11-09,4.43,0.31,4.74,7%,1.0,Shopee,0,Y,CUST0081
DOC001280,1,CAM-MN-FM-135G,Fancy Mixed Nuts,2,5.77,8,11.54,10.62,2023-12-11,10.62,0.74,11.36,7%,1.0,Lazada,0,N,CUST0088
DOC001281,1,CAM-MN-CM-135G,Natural Cocktail Mix,5,5.25,9,26.25,23.89,2023-02-22,23.89,1.67,25.56,7%,1.0,Lazada,0,N,CUST0187
DOC001282,1,CAM-C-H-135G,Honey Cashews,2,5.14,11,10.28,9.15,2023-08-06,9.15,0.64,9.79,7%,1.0,Shopee,0,Y,CUST0110
DOC001283,1,CAM-BG&-BB-135G,Broad Beans (Fava) Original,1,2.12,3,2.12,2.06,2023-03-31,2.06,0.14,2.2,7%,1.0,Shopify,0,N,CUST0131
DOC001284,1,CAM-MN-RM-135G,Natural Baked Ruby Mix,2,5.29,1,10.58,10.47,2024-12-26,10.47,0.73,11.2,7%,1.0,Shopify,0,N,CUST0196
DOC001285,1,CAM-DF&-M-200G,Dried Mango,5,5.11,8,25.55,23.51,2024-07-26,23.51,1.65,25.16,7%,1.0,Lazada,0,N,CUST0151
DOC001286,1,CAM-C-R-1KG,Roasted Cashews 1kg,2,28.11,3,56.22,54.53,2023-06-18,54.53,3.82,58.35,7%,1.0,Shopify,0,N,CUST0176
DOC001287,1,CAM-A-R-1KG,Raw Almonds 1kg,3,20.45,6,61.35,57.67,2023-05-12,57.67,4.04,61.71,7%,1.0,Lazada,0,N,CUST0074
DOC001288,1,CAM-C-H-1KG,Honey Cashews 1kg,2,28.34,2,56.68,55.55,2024-05-14,55.55,3.89,59.44,7%,1.0,Shopify,0,N,CUST0163
DOC001289,1,CAM-C-S-1KG,Satay Cashews 1kg,3,25.45,0,76.35,76.35,2024-08-15,76.35,5.34,81.69,7%,1.0,Shopify,0,N,CUST0092
